meeting_key,driver_name,practice_best_lap,practice_avg_best_lap,practice_total_laps,practice_best_s1,practice_best_s2,practice_best_s3,practice_avg_i1_speed,practice_avg_i2_speed,practice_avg_st_speed,practice_purple_sectors,practice_green_sectors,practice_soft_laps,practice_medium_laps,practice_hard_laps,quali_best_lap,quali_best_s1,quali_best_s2,quali_best_s3,grid_position,finishing_position,points,practice_total_sectors,practice_vs_quali_improvement,practice_total_tire_laps
1208,SAR,89.264,90.64033333333333,74,30.165,33.695,25.19,189.04758107389685,161.79908103592314,287.95415622389305,16,316,58.0,10.0,19.0,88.577,29.832,33.759,24.986,20.0,20.0,0.0,89.05,0.6869999999999976,87.0
1208,STR,88.723,89.66333333333334,71,29.858,33.598,25.242,175.50348583877997,148.44313725490198,263.11862745098034,29,379,52.0,18.0,13.0,88.476,29.768,33.696,24.952,18.0,12.0,0.0,88.69800000000001,0.2469999999999999,83.0
1208,TSU,89.179,90.32033333333334,73,29.862,34.015,25.276,181.22083333333333,155.525,259.41527777777776,2,384,45.0,18.0,19.0,88.429,29.609,33.494,25.129,17.0,11.0,0.0,89.15299999999999,0.75,82.0
1208,VER,87.535,88.67133333333334,63,29.172,33.319,24.909,191.53968253968253,165.33333333333334,277.80454403983816,82,263,36.0,19.0,17.0,86.814,29.073,32.956,24.785,9.0,1.0,26.0,87.4,0.7210000000000036,72.0
1208,ZHO,89.074,90.12966666666667,68,29.839,33.759,25.171,188.91613756613762,160.91798941798942,265.0873015873016,5,410,50.0,11.0,18.0,88.091,29.408,33.461,25.061,14.0,16.0,0.0,88.769,0.9830000000000041,79.0
1210,ALB,73.93,74.271,65,19.347,34.957,19.517,163.63219373219374,159.96011396011397,254.4169290748238,5,340,35.0,14.0,21.0,72.527,18.989,34.347,19.161,13.0,14.0,0.0,73.821,1.4030000000000058,70.0
1210,ALO,72.682,73.363,78,18.844,34.337,19.245,178.61333333333334,167.2189933523267,243.0804938271605,62,345,41.0,30.0,16.0,71.449,18.496,33.844,19.109,2.0,2.0,18.0,72.426,1.233000000000004,87.0
1210,BOT,73.05,73.76299999999999,82,19.093,34.587,19.37,177.1861111111111,170.943961352657,255.53,36,369,41.0,38.0,16.0,72.625,18.914,34.446,19.178,15.0,11.0,0.0,73.05000000000001,0.42499999999999716,95.0
1210,DEV,73.663,74.31099999999999,91,19.137,34.877,19.437,175.8894909688013,166.62528735632182,255.0919540229885,17,443,45.0,35.0,19.0,72.428,18.9,34.307,19.221,12.0,12.0,0.0,73.45100000000001,1.2349999999999994,99.0
1210,GAS,73.089,73.80266666666667,82,19.214,34.406,19.387,170.7015167548501,164.73481481481483,252.30185185185186,20,395,35.0,33.0,19.0,71.933,18.841,34.003,19.089,7.0,7.0,6.0,73.007,1.1559999999999917,87.0
1210,HAM,72.96,73.49366666666667,73,18.947,34.55,19.253,169.76068376068375,156.82350982350982,236.32101232101232,37,281,30.0,37.0,11.0,71.725,18.757,33.929,19.039,5.0,4.0,13.0,72.75,1.2349999999999994,78.0
1210,HUL,73.52,74.31833333333333,66,19.197,34.802,19.508,177.8843304843305,162.68385331143952,246.76130268199233,7,352,36.0,21.0,14.0,73.279,19.108,34.707,19.464,18.0,17.0,0.0,73.50699999999999,0.24099999999999966,71.0
1210,LEC,72.527,73.365,76,18.992,34.326,19.209,176.77141000649772,150.9716049382716,235.8793650793651,32,392,43.0,27.0,16.0,71.471,18.651,33.87,18.95,6.0,6.0,8.0,72.527,1.0559999999999974,86.0
